#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2019-02-23T02:33:17 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c70b0b610081	
#INFO	-out.max=1000	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/ApJ/757/18&tab:{J/ApJ/757/18/table2}&key:source=J/ApJ/757/18/table2&HTTPPRM:&&-ref=VIZ5c70b0b610081&-out.src=J/ApJ/757/18/table2&-out=Name&-out=BJD&-out=RVel&-out=f_RVel&-out=e_RVel&-out=Inst&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-order=I&-oc.form=sexa&-out.max=1000&-out.form=HTML Table&undefined=CDS, France&
#-source=J/ApJ/757/18/table2
#-order=I
#-out=Name
#-out=BJD
#-out=RVel
#-out=f_RVel
#-out=e_RVel
#-out=Inst
#

#RESOURCE=yCat_17570018
#Name: J/ApJ/757/18
#Title: Radial velocities for 16 hot Jupiter host stars (Albrecht+, 2012)
#Table	J_ApJ_757_18_table2:
#Name: J/ApJ/757/18/table2
#Title: Relative radial velocity measurements
#Column	Name	(A9)	System name	[ucd=meta.id;pos.frame]
#Column	BJD	(F13.5)	Barycentric Julian Date	[ucd=time.epoch]
#Column	RVel	(F8.2)	[-1660.3/1209.9] Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	f_RVel	(A1)	[*] Flag on RVel (1)	[ucd=meta.code]
#Column	e_RVel	(F6.2)	[-40.9/23.1] Internally estimated uncertainty in RVel (2)	[ucd=stat.error;spect.dopplerVeloc]
#Column	Inst	(A5)	Spectrograph used in observation (3)	[ucd=meta.id;instr]
# ;d;m/s; ;m/s;
name;bjd;rv;f_RVel;e_rv;inst
HAT-P-6;2455526.70653;16.00;;4.97;HIRES
HAT-P-6;2455526.71094;35.72;;5.25;HIRES
HAT-P-6;2455526.71507;22.91;;5.13;HIRES
HAT-P-6;2455526.71907;-1.16;;5.01;HIRES
HAT-P-6;2455526.72347;-2.27;;4.68;HIRES
HAT-P-6;2455526.72775;-14.90;;4.63;HIRES
HAT-P-6;2455526.73174;-14.49;;4.50;HIRES
HAT-P-6;2455526.73540;-42.74;;4.61;HIRES
HAT-P-6;2455526.73939;-18.70;;5.15;HIRES
HAT-P-6;2455526.74392;-30.63;;4.81;HIRES
HAT-P-6;2455526.74848;-40.64;;4.78;HIRES
HAT-P-6;2455526.76377;-25.81;;5.01;HIRES
HAT-P-6;2455526.76826;-20.27;;5.04;HIRES
HAT-P-6;2455526.77253;-12.83;;5.03;HIRES
HAT-P-6;2455526.77683;-21.30;;5.02;HIRES
HAT-P-6;2455526.78137;-12.12;;4.86;HIRES
HAT-P-6;2455526.78625;2.82;;5.23;HIRES
HAT-P-6;2455526.79129;-5.57;;4.77;HIRES
HAT-P-6;2455526.79633;10.85;;4.51;HIRES
HAT-P-6;2455526.80102;9.25;;4.96;HIRES
HAT-P-6;2455526.80540;9.25;;4.91;HIRES
HAT-P-6;2455526.81023;25.87;;4.76;HIRES
HAT-P-6;2455526.81507;16.94;;4.71;HIRES
HAT-P-6;2455526.81985;16.68;;5.07;HIRES
HAT-P-6;2455526.82479;37.30;;4.62;HIRES
HAT-P-6;2455526.82965;25.93;;5.29;HIRES
HAT-P-6;2455526.83409;19.25;;4.76;HIRES
HAT-P-6;2455526.83855;29.01;;4.80;HIRES
HAT-P-6;2455526.84307;12.81;;5.41;HIRES
HAT-P-6;2455526.84741;15.37;;5.10;HIRES
HAT-P-6;2455526.85188;-2.23;;5.15;HIRES
HAT-P-6;2455526.85660;-33.65;;5.30;HIRES
HAT-P-6;2455526.86181;-12.17;;5.03;HIRES
HAT-P-6;2455526.86701;-9.76;;5.01;HIRES
HAT-P-6;2455526.87222;-1.55;;4.94;HIRES
HAT-P-6;2455526.87713;-27.93;;4.79;HIRES
HAT-P-6;2455526.88193;-25.71;;4.92;HIRES
HAT-P-6;2455526.88745;-32.82;;5.03;HIRES
HAT-P-6;2455526.89277;-15.68;;5.11;HIRES
HAT-P-6;2455526.89825;-34.08;;5.07;HIRES
HAT-P-6;2455526.90384;-37.20;;5.06;HIRES
HAT-P-6;2455526.90951;-33.94;;5.05;HIRES
HAT-P-7;2455401.75890;96.67;;2.81;HIRES
HAT-P-7;2455401.76553;102.61;;3.65;HIRES
HAT-P-7;2455401.78946;95.33;;3.27;HIRES
HAT-P-7;2455401.79574;89.15;;3.24;HIRES
HAT-P-7;2455401.80182;81.87;;3.31;HIRES
HAT-P-7;2455401.80834;85.54;;3.28;HIRES
HAT-P-7;2455401.81455;68.96;;3.00;HIRES
HAT-P-7;2455401.82069;79.49;;3.26;HIRES
HAT-P-7;2455401.82724;64.88;;3.18;HIRES
HAT-P-7;2455401.83380;53.72;;2.79;HIRES
HAT-P-7;2455401.83965;52.58;;2.51;HIRES
HAT-P-7;2455401.84519;46.06;;2.43;HIRES
HAT-P-7;2455401.85002;40.69;;2.49;HIRES
HAT-P-7;2455401.85411;35.98;;2.95;HIRES
HAT-P-7;2455401.86035;38.94;;2.60;HIRES
HAT-P-7;2455401.86476;28.54;;2.77;HIRES
HAT-P-7;2455401.86890;34.19;;2.91;HIRES
HAT-P-7;2455401.87264;21.11;;2.74;HIRES
HAT-P-7;2455401.87623;27.01;;2.72;HIRES
HAT-P-7;2455401.88057;22.96;;2.84;HIRES
HAT-P-7;2455401.88529;33.20;;2.98;HIRES
HAT-P-7;2455401.89108;17.08;;2.75;HIRES
HAT-P-7;2455401.89742;8.09;;2.82;HIRES
HAT-P-7;2455401.90288;10.48;;2.83;HIRES
HAT-P-7;2455401.90718;11.65;;2.69;HIRES
HAT-P-7;2455401.91181;4.62;;2.75;HIRES
HAT-P-7;2455401.91747;2.69;;2.64;HIRES
HAT-P-7;2455401.92357;7.36;;2.94;HIRES
HAT-P-7;2455401.92979;-0.39;;3.53;HIRES
HAT-P-7;2455401.93673;7.25;;3.15;HIRES
HAT-P-7;2455401.94299;16.30;;3.11;HIRES
HAT-P-7;2455401.94850;-1.41;;2.82;HIRES
HAT-P-7;2455401.95839;-10.71;;3.01;HIRES
HAT-P-7;2455401.96455;-16.94;;3.01;HIRES
HAT-P-7;2455401.97090;-10.18;;2.94;HIRES
HAT-P-7;2455401.97733;-31.95;;2.83;HIRES
HAT-P-7;2455401.98324;-19.39;;3.08;HIRES
HAT-P-7;2455401.98992;-33.31;;2.82;HIRES
HAT-P-7;2455401.99606;-31.45;;2.79;HIRES
HAT-P-7;2455402.00207;-43.33;;2.90;HIRES
HAT-P-7;2455402.00820;-44.68;;2.92;HIRES
HAT-P-7;2455402.01425;-46.88;;3.22;HIRES
HAT-P-7;2455402.02098;-57.84;;3.39;HIRES
HAT-P-7;2455402.02707;-49.74;;3.95;HIRES
HAT-P-7;2455402.03365;-61.03;;4.26;HIRES
HAT-P-7;2455402.03979;-64.57;;4.93;HIRES
HAT-P-7;2455402.04667;-55.80;;4.64;HIRES
HAT-P-7;2455402.05418;-63.18;;4.82;HIRES
HAT-P-7;2455402.10872;-99.71;;3.39;HIRES
HAT-P-16;2455557.80743;10.90;;2.49;HIRES
HAT-P-16;2455557.81607;-7.52;;2.55;HIRES
HAT-P-16;2455557.82412;-19.12;;2.59;HIRES
HAT-P-16;2455557.83158;-32.72;;2.71;HIRES
HAT-P-16;2455557.83811;-53.48;;2.55;HIRES
HAT-P-16;2455557.84463;-48.98;;2.47;HIRES
HAT-P-16;2455557.85112;-58.82;;2.35;HIRES
HAT-P-16;2455557.85804;-58.10;;2.53;HIRES
HAT-P-16;2455557.91616;-118.84;;3.12;HIRES
HAT-P-24;2455528.89652;63.15;;-10.69;HIRES
HAT-P-24;2455529.00674;44.20;;6.90;HIRES
HAT-P-24;2455529.01409;9.93;;6.69;HIRES
HAT-P-24;2455529.02110;-24.18;;6.36;HIRES
HAT-P-24;2455529.02807;-20.02;;6.44;HIRES
HAT-P-24;2455529.03490;-25.71;;6.30;HIRES
HAT-P-24;2455529.04269;-69.60;;6.11;HIRES
HAT-P-24;2455529.05063;-81.92;;6.89;HIRES
HAT-P-24;2455529.05857;-52.74;;6.49;HIRES
HAT-P-24;2455529.06656;-85.38;;6.24;HIRES
HAT-P-24;2455529.07655;-66.89;;6.71;HIRES
HAT-P-24;2455529.08722;-22.32;;7.21;HIRES
HAT-P-24;2455529.09754;8.50;;6.62;HIRES
HAT-P-24;2455529.10670;15.68;;6.56;HIRES
HAT-P-24;2455529.11481;-2.92;;6.51;HIRES
HAT-P-24;2455529.12311;-7.48;;6.54;HIRES
HAT-P-24;2455529.13266;10.90;;6.88;HIRES
HAT-P-32;2455901.69625;-23.22;;19.37;HIRES
HAT-P-32;2455901.69899;-25.72;;19.97;HIRES
HAT-P-32;2455901.70169;-2.15;;20.53;HIRES
HAT-P-32;2455901.70441;43.95;;18.70;HIRES
HAT-P-32;2455901.70710;55.66;;21.12;HIRES
HAT-P-32;2455901.70974;35.60;;19.84;HIRES
HAT-P-32;2455901.71231;26.28;;19.87;HIRES
HAT-P-32;2455901.71488;51.84;;20.08;HIRES
HAT-P-32;2455901.71747;-12.91;;20.97;HIRES
HAT-P-32;2455901.72008;-18.92;;19.80;HIRES
HAT-P-32;2455901.72320;57.31;;19.49;HIRES
HAT-P-32;2455901.72671;-40.42;;-22.82;HIRES
HAT-P-32;2455901.73783;102.39;;-40.89;HIRES
HAT-P-32;2455901.74421;-24.97;;-22.57;HIRES
HAT-P-32;2455901.74820;-105.24;;20.39;HIRES
HAT-P-32;2455901.75142;56.95;;18.89;HIRES
HAT-P-32;2455901.75435;81.64;;20.55;HIRES
HAT-P-32;2455901.75704;3.41;;22.21;HIRES
HAT-P-32;2455901.75965;6.48;;18.30;HIRES
HAT-P-32;2455901.76232;54.43;;20.38;HIRES
HAT-P-32;2455901.76516;-10.38;;19.56;HIRES
HAT-P-32;2455901.76815;-29.26;;19.43;HIRES
HAT-P-32;2455901.77108;-48.16;;19.99;HIRES
HAT-P-32;2455901.77388;-8.09;;19.03;HIRES
HAT-P-32;2455901.77662;-58.32;;20.06;HIRES
HAT-P-32;2455901.77958;14.84;;19.94;HIRES
HAT-P-32;2455901.78329;-91.81;;-19.77;HIRES
HAT-P-32;2455901.79009;89.00;;-33.07;HIRES
HAT-P-32;2455901.79411;7.21;;20.65;HIRES
HAT-P-32;2455901.79696;-76.17;;20.65;HIRES
HAT-P-32;2455901.79987;-5.66;;19.34;HIRES
HAT-P-32;2455901.80290;-131.02;;19.22;HIRES
HAT-P-32;2455901.80572;-29.30;;18.90;HIRES
HAT-P-32;2455901.80844;-129.61;;19.26;HIRES
HAT-P-32;2455901.81110;-128.14;;21.88;HIRES
HAT-P-32;2455901.81373;-126.62;;19.68;HIRES
HAT-P-32;2455901.81636;-146.09;;20.45;HIRES
HAT-P-32;2455901.81918;-60.33;;18.34;HIRES
HAT-P-32;2455901.82188;-83.05;;20.61;HIRES
HAT-P-32;2455901.82450;-59.32;;21.77;HIRES
HAT-P-32;2455901.82729;-53.29;;20.32;HIRES
HAT-P-32;2455901.83006;-119.24;;18.92;HIRES
HAT-P-32;2455901.83276;-104.94;;19.98;HIRES
HAT-P-32;2455901.83545;-74.70;;21.32;HIRES
HAT-P-32;2455901.83815;-56.12;;23.02;HIRES
HAT-P-32;2455901.84088;-139.83;;19.80;HIRES
HAT-P-32;2455901.84410;-94.61;;20.93;HIRES
HAT-P-32;2455901.84818;-16.69;;19.49;HIRES
HAT-P-32;2455901.85157;-114.27;;19.44;HIRES
HAT-P-32;2455901.85475;-37.92;;19.55;HIRES
HAT-P-32;2455901.85745;22.47;;18.97;HIRES
HAT-P-32;2455901.86030;-73.28;;20.56;HIRES
HAT-P-32;2455901.86306;-72.77;;20.96;HIRES
HAT-P-32;2455901.86581;42.24;;20.26;HIRES
HAT-P-32;2455901.86850;-57.48;;20.01;HIRES
HAT-P-32;2455901.87118;-26.24;;19.98;HIRES
HAT-P-32;2455901.87386;-27.89;;22.84;HIRES
HAT-P-32;2455901.87658;-91.21;;21.88;HIRES
HAT-P-32;2455901.87953;13.10;;19.99;HIRES
HAT-P-32;2455901.88236;-28.76;;18.53;HIRES
HAT-P-32;2455901.88502;4.88;;20.78;HIRES
HAT-P-32;2455901.88754;-20.36;;20.13;HIRES
HAT-P-32;2455901.89006;-79.19;;19.56;HIRES
HAT-P-32;2455901.89258;24.91;;18.99;HIRES
HAT-P-32;2455901.89505;1.69;;20.94;HIRES
HAT-P-32;2455901.89745;-37.74;;18.49;HIRES
HAT-P-32;2455901.89995;-4.86;;21.25;HIRES
HAT-P-32;2455901.90258;-101.96;;18.69;HIRES
HAT-P-32;2455901.90524;-104.33;;19.82;HIRES
HAT-P-32;2455901.90781;-8.64;;18.93;HIRES
HAT-P-32;2455901.91034;39.15;;19.07;HIRES
HAT-P-32;2455901.98630;-59.59;;21.06;HIRES
HAT-P-32;2455901.98905;-42.13;;18.87;HIRES
HAT-P-32;2455901.99168;-41.92;;19.14;HIRES
HAT-P-32;2455901.99431;-24.43;;20.37;HIRES
HAT-P-32;2455901.99697;-66.92;;21.27;HIRES
HAT-P-34;2455807.75682;96.15;;13.96;HIRES
HAT-P-34;2455807.76012;186.85;;13.77;HIRES
HAT-P-34;2455807.76340;224.32;;12.57;HIRES
HAT-P-34;2455807.77578;230.47;;13.76;HIRES
HAT-P-34;2455807.77905;199.58;;13.05;HIRES
HAT-P-34;2455807.78221;259.42;;12.87;HIRES
HAT-P-34;2455807.78523;218.32;;12.60;HIRES
HAT-P-34;2455807.78828;205.19;;13.68;HIRES
HAT-P-34;2455807.79124;215.21;;12.71;HIRES
HAT-P-34;2455807.79438;270.78;;13.93;HIRES
HAT-P-34;2455807.79735;219.32;;13.47;HIRES
HAT-P-34;2455807.80021;198.45;;13.04;HIRES
HAT-P-34;2455807.80307;195.05;;13.84;HIRES
HAT-P-34;2455807.80588;228.37;;14.15;HIRES
HAT-P-34;2455807.80871;124.33;;13.52;HIRES
HAT-P-34;2455807.81150;159.34;;14.47;HIRES
HAT-P-34;2455807.81436;161.81;;14.60;HIRES
HAT-P-34;2455807.84781;-4.28;;14.27;HIRES
HAT-P-34;2455807.85087;-36.73;;13.57;HIRES
HAT-P-34;2455807.85397;-57.42;;14.26;HIRES
HAT-P-34;2455807.85688;-66.40;;13.34;HIRES
HAT-P-34;2455807.85977;-113.85;;14.67;HIRES
HAT-P-34;2455807.86264;-103.02;;13.83;HIRES
HAT-P-34;2455807.86551;-126.89;;13.80;HIRES
HAT-P-34;2455807.86841;-102.10;;12.12;HIRES
HAT-P-34;2455807.87128;-61.23;;13.68;HIRES
HAT-P-34;2455807.87411;-107.83;;13.14;HIRES
HAT-P-34;2455807.87700;-139.66;;14.30;HIRES
HAT-P-34;2455807.87985;-93.91;;13.20;HIRES
HAT-P-34;2455807.88267;-112.45;;12.84;HIRES
HAT-P-34;2455807.88552;-86.64;;13.61;HIRES
HAT-P-34;2455807.88837;-102.33;;13.37;HIRES
HAT-P-34;2455807.89115;-118.02;;13.13;HIRES
HAT-P-34;2455807.89393;-96.52;;14.30;HIRES
HAT-P-34;2455807.89671;-76.70;;14.02;HIRES
HAT-P-34;2455807.89973;-1.06;;13.58;HIRES
HAT-P-34;2455807.90512;-4.87;;13.84;HIRES
HAT-P-34;2455807.90825;-14.68;;12.89;HIRES
HAT-P-34;2455807.91137;-5.16;;13.68;HIRES
HAT-P-34;2455807.91432;20.25;;13.80;HIRES
HAT-P-34;2455807.91717;39.61;;14.41;HIRES
HAT-P-34;2455807.92005;-72.34;;14.38;HIRES
HAT-P-34;2455807.92299;-17.09;;13.99;HIRES
HAT-P-34;2455807.92581;0.38;;13.82;HIRES
HAT-P-34;2455807.92876;-9.12;;13.99;HIRES
HAT-P-34;2455807.93166;-41.92;;14.04;HIRES
HAT-P-34;2455807.93456;-37.58;;13.80;HIRES
HAT-P-34;2455807.93729;-70.06;;13.68;HIRES
HAT-P-34;2455807.94005;1.41;;14.00;HIRES
HAT-P-34;2455807.94304;-42.66;;14.08;HIRES
HAT-P-34;2455807.94615;-18.07;;14.14;HIRES
HAT-P-34;2455807.94933;-14.18;;14.49;HIRES
HAT-P-34;2455807.95233;-26.46;;13.30;HIRES
HAT-P-34;2455807.95586;-10.28;;15.76;HIRES
HAT-P-34;2455807.95891;-34.83;;14.30;HIRES
HAT-P-34;2455807.96232;-50.24;;15.55;HIRES
HAT-P-34;2455807.96563;-54.37;;14.29;HIRES
HAT-P-34;2455807.96895;-23.90;;16.20;HIRES
HAT-P-34;2455807.97216;0.56;;14.64;HIRES
HAT-P-34;2455808.00948;-71.12;;13.94;HIRES
HAT-P-34;2455808.01275;-86.25;;14.25;HIRES
HAT-P-34;2455808.01609;-100.03;;14.85;HIRES
WASP-12;2455928.78371;164.77;;2.57;HIRES
WASP-12;2455928.78876;162.73;;2.59;HIRES
WASP-12;2455928.79386;162.75;;2.56;HIRES
WASP-12;2455928.82278;130.91;;2.22;HIRES
WASP-12;2455928.82877;128.67;;2.13;HIRES
